id_con;codigo;estado;utilizado;id_loc
43;13400114924708500;A;0;114
43;7551314924708550;A;0;114
43;62718314924708500;A;0;114
43;67465114924708500;A;0;114
43;48165114924708500;A;0;114
43;75214814924708500;A;0;114
43;69391014924708500;A;0;114
43;8808114924708550;A;0;114
43;1160314924708550;A;0;114
43;566267149247085000;A;0;114
43;376975149247085000;A;0;114
43;312643149247085000;A;0;114
43;675018149247085000;A;0;114
43;879027149247085000;A;0;114
43;808225149247085000;A;0;114
43;144319149247085000;A;0;114
43;784519149247085000;A;0;114
43;21149247085518;A;0;114
43;364608149247085000;A;0;114
43;684373149247085000;A;0;114
43;885555149247085000;A;0;114
43;870955149247085000;A;0;114
43;769562149247085000;A;0;114
43;561442149247085000;A;0;114
43;755828149247085000;A;0;114
43;602004149247085000;A;0;114
43;811631149247085000;A;0;114
43;50541149247085500;A;0;114
43;917539149247085000;A;0;114
43;69691149247085500;A;0;114
43;417117149247085000;A;0;114
43;51541149247085500;A;0;114
43;145203149247085000;A;0;114
43;44301149247085500;A;0;114
43;726191149247085000;A;0;114
43;626853149247085000;A;0;114
43;796448149247085000;A;0;114
43;420102149247085000;A;0;114
43;714934149247085000;A;0;114
43;808051149247085000;A;0;114
43;986369149247085000;A;0;114
43;91909149247085500;A;0;114
43;120694149247085000;A;0;114
43;661387149247085000;A;0;114
43;970936149247085000;A;0;114
43;928918149247085000;A;0;114
43;805706149247085000;A;0;114
43;755455149247085000;A;0;114
43;928939149247085000;A;0;114
43;170315149247085000;A;0;114
43;439828149247085000;A;0;114
43;814494149247085000;A;0;114
43;41270149247085500;A;0;114
43;209391149247085000;A;0;114
43;375936149247085000;A;0;114
43;797098149247085000;A;0;114
43;811395149247085000;A;0;114
43;187567149247085000;A;0;114
43;847638149247085000;A;0;114
43;728934149247085000;A;0;114
43;257258149247085000;A;0;114
43;264756149247085000;A;0;114
43;780475149247085000;A;0;114
43;402460149247085000;A;0;114
43;309056149247085000;A;0;114
43;506667149247085000;A;0;114
43;29313149247085500;A;0;114
43;105504149247085000;A;0;114
43;926768149247085000;A;0;114
43;744247149247085000;A;0;114
43;913554149247085000;A;0;114
43;913138149247085000;A;0;114
43;836155149247085000;A;0;114
43;34249149247085500;A;0;114
43;574526149247085000;A;0;114
43;807092149247085000;A;0;114
43;963167149247085000;A;0;114
43;380232149247085000;A;0;114
43;562547149247085000;A;0;114
43;892106149247085000;A;0;114
43;550546149247085000;A;0;114
43;2376149247085580;A;0;114
43;706601149247085000;A;0;114
43;591816149247085000;A;0;114
43;211767149247085000;A;0;114
43;82538149247085500;A;0;114
43;388914149247085000;A;0;114
43;23162149247085500;A;0;114
43;270105149247085000;A;0;114
43;236553149247085000;A;0;114
43;752095149247085000;A;0;114
43;527362149247085000;A;0;114
43;501308149247085000;A;0;114
43;532570149247085000;A;0;114
43;929821149247085000;A;0;114
43;810363149247085000;A;0;114
43;39237149247085500;A;0;114
43;959134149247085000;A;0;114
43;915867149247085000;A;0;114
